subject_id,task-instructions,performance,strategy,feedback
1b15syhlnqzrgysdjgjgseja,5,4,Pressed each colour button once to get an idea of which direction its likely to go. ,
,5,4,I decided to press each button twice to see where the buttons were more likely to lead to. I also hoped that doing this would mean there was a token in each box  so that I had a chance of getting the coin wherever it ended up. I thought it was more important to maximise my chance of getting the coin than maximise the amount of money by just guessing where the buttons led to.,"It would be nice to know what the coin equates to in terms of bonus (e.g. whole coin = 0.5 GBP) just for extra information but otherwise, I think this was a very good study."
,5,4,Tried to use the correct buttons. ,Nothing to add. 
64ajo2ewkoh6wrz6clon6ljg,5,4,"I tried to still gain some bonus, so I would do every colour once, and then two or three (depending on my confidence) of the colours one more time, if there were any rooms that had two colours after the first three clicks I would repeat these two.",
9rg2qdgqkw8f8w0140nwnog4,4,5,nope,no
at646xx7363bhucx8op01ed4,5,3,I followed instruction's but took the chance to guess without buttons for some rooms.,No. Thank you.
blej6t8pm783gqfrkawnfer3,5,4,YES,NONE
e0wctb6dohkfit4yrgg2ygqq,5,5,"I chose to skip any slection of circles and choose to randomly selected bottom left circle for the gold selection, I figure there may have been a pattern but reasoned that I will have had a probability of selecting a full piece of gold more often than eating into a portion of each piece",let's see what happens
fi968wjo8fvdfey6gtpsiuh2,5,3,I just followed my instinct,No
hp6rbokaww20wnn6lwin5zze,5,3,tried to do the bare minimum of testing to preserve gold value,
,4,2,i just choose the one that felt more likely to get the gold coin,no comment
,4,5,tried to keep in mind the location of buttons leading to a particular direction,interesting game
t8pgw2wt8zcoboo5dl99cygj,5,5,No,
v9yxddg3fblyhrq15da21xac,4,3,I would arrange 4 piece of same colour first.,none
wq3p6p1udy0vf9gxkwlbw3x4,2,5,probabilities,no
x06a64xmophx4rqmkjwxbrgh,5,2,I tried to balance keeping the amount of coin with probability of getting the correct answer. Sometimes I risked more of a guess in case I might get more of the coin.,
,5,5,when in doubt go green,
